Product_Name,Price
"ADVAN CHROMEBOOK N4020 4GB 32GB (Intel N4020, RAM 4 GB, Storage 32 GB, Vga Intel, LED 11.6"" UHD, Chrome OS)",2800000
"ADVAN Soulmate N4020 Memori 4 GB Storage 128 GB Win 11 / ADVAN SOULMATE T N4020 4GB 128GB W11 (Intel N4020, RAM 4 GB, Storage 128 GB, Vga Intel, LED 14"", Win 11 Home) Grey, Black, Blue",2300000
"ADVAN Soulmate N4020 Memori 4 GB Storage 128 GB Win 11 Pro (Intel N4020, RAM 4 GB, Storage 128 GB, Vga Intel, LED 14"", Windows 11 Profesional) Ready Stock",2900000
"ADVAN Soulmate N4020 Memori 4 GB Storage 384 GB Win 11 (Intel N4020, RAM 4 GB, Storage 384 GB, Vga Intel, LED 14"", Win 11 Home) Ready Stock (Grey, Blue)",2750000
"ADVAN Soulmate N4020 Memori 4 GB Storage 384 GB Win 11 Pro (Intel N4020, RAM 4 GB, Storage 384 GB, Vga Intel, LED 14"", Windows 11 Profesional) Ready Stock",3400000
"ADVAN Soulmate N4020 Memori 4 GB Storage 640 GB Win 11 Pro (Intel N4020, RAM 4 GB, Storage 640 GB, Vga Intel, LED 14"", Windows 11 Profesional) Ready Stock",3900000
"ADVAN Soulmate N4020 Memori 8 GB Storage 128 GB Win 11 / ADVAN SOULMATE X2 8GB 128GB W11 (Intel N4020, RAM 8 GB, Storage 128 GB, Vga Intel, LED 14"", Win 11 Home) Ready Stock",2800000
"ADVAN Soulmate N4020 Memori 8 GB Storage 128 GB Win 11 Pro (Intel N4020, RAM 8 GB, Storage 128 GB, Vga Intel, LED 14"", Windows 11 Profesional) Ready Stock",3900000
"ADVAN Soulmate N4020 Memori 8 GB Storage 384 GB Win 11 Pro (Intel N4020, RAM 8 GB, Storage 384 GB, Vga Intel, LED 14"", Windows 11 Profesional) Ready Stock",4400000
"ADVAN Soulmate N4020 Memori 8 GB Storage 640 GB Win 11 Pro (Intel N4020, RAM 8 GB, Storage 640 GB, Vga Intel, LED 14"", Windows 11 Profesional) Ready Stock",4900000
"ADVAN Tbook N100 Memori 4 GB Storage 128 GB Win 11 / ADVAN TBOOK N100 4GB 128GB W11 (Intel N100, RAM 4 GB, Storage 128 GB, Vga Intel, LED 14"", Win 11 Home) Ready Stock",2850000
"ADVAN Tbook N100 Memori 4 GB Storage 128 GB Win 11 Pro (Intel N100, RAM 4 GB, Storage 128 GB, Vga Intel, LED 14"", Windows 11 Profesional) Ready Stock",3700000
"ADVAN Tbook N100 Memori 8 GB Storage 128 GB Win 11 / ADVAN TBOOK N100 8GB 128GB W11 (Intel N100, RAM 8 GB, Storage 128 GB, Vga Intel, LED 14"", Win 11 Home) Ready Stock",2850000
"ADVAN Tbook N100 Memori 8 GB Storage 128 GB Win 11 Pro (Intel N100, RAM 8 GB, Storage 128 GB, Vga Intel, LED 14"", Windows 11 Profesional) Ready Stock",3900000
"ADVAN Soulmate Plus Ryzen 5 3500U Memori 8 GB SSD 256 GB Win 11 (AMD Ryzen 5 3500U, RAM 8 GB, SSD 256 GB, Vga Ati Radeon Vega 8, LED 14"", Win 11 Home)",3800000
"ADVAN Workmate Ryzen 5 3500U Memori 8 GB SSD 256 GB Win 11 (AMD Ryzen 5 3500U, RAM 8 GB, SSD 256 GB, Vga Ati Radeon Vega 8, LED 14 WUXGA, Win 11 Home)",3850000
"ADVAN Workmate Ryzen 5 3500U Memori 8 GB SSD 256 GB Win 11 Pro (AMD Ryzen 5 3500U, RAM 8 GB, SSD 256 GB, Vga Ati Radeon Vega 8, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",4900000
"ADVAN Workmate Ryzen 5 3500U Memori 8 GB SSD 512 GB Win 11 Pro (AMD Ryzen 5 3500U, RAM 8 GB, SSD 512 GB, Vga Ati Radeon Vega 8, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",5400000
"ADVAN Workmate Ryzen 5 3500U Memori 8 GB SSD 1 TB Win 11 Pro (AMD Ryzen 5 3500U, RAM 8 GB, SSD 1 TB, Vga Ati Radeon Vega 8, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",5900000
"ADVAN Workmate Ryzen 5 3500U Memori 8 GB SSD 2 TB Win 11 Pro (AMD Ryzen 5 3500U, RAM 8 GB, SSD 2 TB, Vga Ati Radeon Vega 8, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",6900000
"ADVAN Workmate Ryzen 5 3500U Memori 8 GB SSD 4 TB Win 11 Pro (AMD Ryzen 5 3500U, RAM 8 GB, SSD 4 TB, Vga Ati Radeon Vega 8, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",8400000
"ADVAN Workmate Ryzen 5 3500U Memori 16 GB SSD 256 GB Win 11 Pro (AMD Ryzen 5 3500U, RAM 16 GB, SSD 256 GB, Vga Ati Radeon Vega 8, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",5400000
"ADVAN Workmate Ryzen 5 3500U Memori 16 GB SSD 512 GB Win 11 Pro (AMD Ryzen 5 3500U, RAM 16 GB, SSD 512 GB, Vga Ati Radeon Vega 8, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",5900000
"ADVAN Workmate Ryzen 5 3500U Memori 16 GB SSD 1 TB Win 11 Pro (AMD Ryzen 5 3500U, RAM 16 GB, SSD 1 TB, Vga Ati Radeon Vega 8, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",6400000
"ADVAN Workmate Ryzen 5 3500U Memori 16 GB SSD 2 TB Win 11 Pro (AMD Ryzen 5 3500U, RAM 16 GB, SSD 2 TB, Vga Ati Radeon Vega 8, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",7400000
"ADVAN Workmate Ryzen 5 3500U Memori 16 GB SSD 4 TB Win 11 Pro (AMD Ryzen 5 3500U, RAM 16 GB, SSD 4 TB, Vga Ati Radeon Vega 8, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",8900000
"ADVAN Workmate Core i3 1215U Memori 8 GB SSD 256 GB Win 11 / ADVAN WORKMATE I3 1215 8GB 256GB W11 (Intel Core i3 1215U, RAM 8 GB, SSD 256 GB, Vga Intel UHD Graphics, LED 14 WUXGA, Win 11 Home) Ready Stock",4550000
"ADVAN Workmate Core i3 1215U Memori 8 GB SSD 256 GB Win 11 Pro (Intel Core i3 1215U, RAM 8 GB, SSD 256 GB, Vga Intel UHD Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",5400000
"ADVAN Workmate Core i3 1215U Memori 8 GB SSD 512 GB Win 11 Pro (Intel Core i3 1215U, RAM 8 GB, SSD 512 GB, Vga Intel UHD Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",5900000
"ADVAN Workmate Core i3 1215U Memori 8 GB SSD 1 TB Win 11 Pro (Intel Core i3 1215U, RAM 8 GB, SSD 1 TB, Vga Intel UHD Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",6400000
"ADVAN Workmate Core i3 1215U Memori 8 GB SSD 2 TB Win 11 Pro (Intel Core i3 1215U, RAM 8 GB, SSD 2 TB, Vga Intel UHD Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",7400000
"ADVAN Workmate Core i3 1215U Memori 8 GB SSD 4 TB Win 11 Pro (Intel Core i3 1215U, RAM 8 GB, SSD 4 TB, Vga Intel UHD Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",8900000
"ADVAN Workmate Core i3 1215U Memori 16 GB SSD 256 GB Win 11 Pro (Intel Core i3 1215U, RAM 16 GB, SSD 256 GB, Vga Intel UHD Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",5900000
"ADVAN Workmate Core i3 1215U Memori 16 GB SSD 512 GB Win 11 Pro (Intel Core i3 1215U, RAM 16 GB, SSD 512 GB, Vga Intel UHD Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",6400000
"ADVAN Workmate Core i3 1215U Memori 16 GB SSD 1 TB Win 11 Pro (Intel Core i3 1215U, RAM 16 GB, SSD 1 TB, Vga Intel UHD Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",6900000
"ADVAN Workmate Core i3 1215U Memori 16 GB SSD 2 TB Win 11 Pro (Intel Core i3 1215U, RAM 16 GB, SSD 2 TB, Vga Intel UHD Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",7900000
"ADVAN Workmate Core i3 1215U Memori 16 GB SSD 4 TB Win 11 Pro (Intel Core i3 1215U, RAM 16 GB, SSD 4 TB, Vga Intel UHD Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",9400000
"ADVAN AI Gen Ryzen 7 8845HS Memori 16 GB SSD 512 GB Win 11 (AMD Ryzen 7 8845HS, RAM 16 GB, SSD 512 GB, Vga AMD Radeon 780M, LED 14"" FHD IPS Win 11 Home) Ready Stock",10150000
"ADVAN AI Gen Ryzen 7 8845HS Memori 16 GB SSD 512 GB Win 11 Pro (AMD Ryzen 7 8845HS, RAM 16 GB, SSD 512 GB, Vga AMD Radeon 780M, LED 14"" FHD IPS, Windows 11 Profesional) Ready Stock",10900000
"ADVAN AI Gen Ryzen 7 8845HS Memori 16 GB SSD 1 TB Win 11 Pro (AMD Ryzen 7 8845HS, RAM 16 GB, SSD 1 TB, Vga AMD Radeon 780M, LED 14"" FHD IPS, Windows 11 Profesional) Ready Stock",11900000
"ADVAN AI Gen Ryzen 7 8845HS Memori 16 GB SSD 2 TB Win 11 Pro (AMD Ryzen 7 8845HS, RAM 16 GB, SSD 2 TB, Vga AMD Radeon 780M, LED 14"" FHD IPS, Windows 11 Profesional) Ready Stock",12900000
"ADVAN AI Gen Ryzen 7 8845HS Memori 16 GB SSD 4 TB Win 11 Pro (AMD Ryzen 7 8845HS, RAM 16 GB, SSD 4 TB, Vga AMD Radeon 780M, LED 14"" FHD IPS, Windows 11 Profesional) Ready Stock",14400000
"ADVAN Laptop WorkPro Lite Core i3 1220P Memori 8 GB SSD 256 GB Win 11 / ADVAN WORKPRO LITE I3 1220P 8GB 256GB W11 (Intel Core i3 1220P, RAM 8 GB, SSD 256 GB, Vga Intel UHD Graphics, LED 14"" HD, Win 11 Home) Ready Stock",4500000
"ADVAN Laptop WorkPro Lite Core i3 1220P Memori 8 GB SSD 256 GB Win 11 Pro (Intel Core i3 1220P, RAM 8 GB, SSD 256 GB, Vga Intel UHD Graphics, LED 14"" HD, Windows 11 Profesional) Ready Stock",5400000
"ADVAN Laptop WorkPro Lite Core i3 1220P Memori 8 GB SSD 512 GB Win 11 Pro (Intel Core i3 1220P, RAM 8 GB, SSD 512 GB, Vga Intel UHD Graphics, LED 14"" HD, Windows 11 Profesional) Ready Stock",5900000
